movie_name,comment_sentiment_name,review_star,clean_review_text,review_like_count
肖申克的救赎 The Shawshank Redemption,好评,5,策划了19年的私奔……,18610
肖申克的救赎 The Shawshank Redemption,好评,5,这样的男人谁会舍得背叛。。。,6576
肖申克的救赎 The Shawshank Redemption,好评,5,"一部没有爱情与美女的电影,却光芒四射",5998
肖申克的救赎 The Shawshank Redemption,好评,5,"Fear Can Hold You Prisoner, Hope Can Set You Free",5317
肖申克的救赎 The Shawshank Redemption,好评,4,"Hope is a good thing, and maybe the best thing of all.",3276
肖申克的救赎 The Shawshank Redemption,好评,5,对不起，我戒酒了。,1765
肖申克的救赎 The Shawshank Redemption,好评,5,这部电影没什么好说的，史上最完美的电影，没有一秒尿尿时间！,1574
肖申克的救赎 The Shawshank Redemption,好评,5,越狱我感觉就是改编自这个,1289
肖申克的救赎 The Shawshank Redemption,好评,5,hope is a good thing,1328
肖申克的救赎 The Shawshank Redemption,好评,5,明修栈道，暗渡陈仓,1192
肖申克的救赎 The Shawshank Redemption,好评,5,二十岁以为自己是在外边看，四十岁才明白自己是在里边看。,410
肖申克的救赎 The Shawshank Redemption,一般,3,我不知道这是不是史上最佳的电影，但这绝对是吹嘘最大的电影。,121
肖申克的救赎 The Shawshank Redemption,一般,3,剧本有问题。,39
肖申克的救赎 The Shawshank Redemption,一般,3,可能是大多数人公认的好电影，甚至是NO.1，然而就是打动不了我，比遵循公众的看法更重要的是跟随自己的内心。,12
肖申克的救赎 The Shawshank Redemption,一般,3,就挺空洞的吧其实,3
肖申克的救赎 The Shawshank Redemption,一般,3,意志力的力量。,0
肖申克的救赎 The Shawshank Redemption,差评,2,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。,209
肖申克的救赎 The Shawshank Redemption,差评,1,我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。,57
肖申克的救赎 The Shawshank Redemption,差评,1,好好想想是中国人拍的打几分,67
肖申克的救赎 The Shawshank Redemption,差评,2,明明是勇敢的心式的狗血剧。,25
肖申克的救赎 The Shawshank Redemption,差评,2,精英奋斗史，还不如基督山伯爵。,16
肖申克的救赎 The Shawshank Redemption,差评,2,"A cheap and reactionary film. There is no ""redemption"" here, but ""hope"" (the hope of what?). What happens the next day, when parole officers catch up with Red? What happens to bringing the real culprit of Andy's wife behind the bar? Where is the PTSD of an ""institutional man?"" There is no deep critique of prison economy here, nor that of America's CJS (all we have is a few corrupt officials outsmarted by a banker who of course ran away w all the money and is praised for it, sounds familiar?). The completely implausible ""figaro"" sequence cheapens the real struggle for freedom. All of this is the stuff of cheap Hollywood.",17
肖申克的救赎 The Shawshank Redemption,差评,1,美化华尔街投行人员的电影。事实上这群人才没有这么好，通常情况下都是在千方百计掩盖自己的犯罪行为。大部分美国电影都是中情局控制下的好莱坞生产的精神鸦片。详情见这本书《好莱坞内部的中情局》,17
肖申克的救赎 The Shawshank Redemption,差评,1,一个地道挖二十年没人发现 侮辱观众智商 偏偏吹成第一 强奸民意,40
肖申克的救赎 The Shawshank Redemption,差评,1,最烦的就是这种片子,17
肖申克的救赎 The Shawshank Redemption,差评,1,一部政治正确的学生作业能上八分吗,14
霸王别姬,好评,5,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,41735
霸王别姬,好评,5,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,28341
霸王别姬,好评,5,"不解,拍出过霸王别姬的人怎能拍出无极来",18709
霸王别姬,好评,5,君王意气尽 贱妾何聊生,12525
霸王别姬,好评,5,菊仙是个好女人,8738
霸王别姬,好评,5,人戏不分，不疯魔不成活。,9755
霸王别姬,好评,5,你凝视你的脸，几亿人在爱恋。,7708
霸王别姬,好评,5,我記得我標記過這部片子的啊！——我以為這是國產電影的開始，誰知道是結束。,6270
